antecedents,consequents,support,confidence,lift
Juice,Shirt,0.007533902561526871,0.1153846153846154,1.9305106658047837
Shirt,Juice,0.007533902561526871,0.12605042016806722,1.9305106658047835
Educational Book,Croissant,0.00803616273229533,0.13675213675213677,1.8907882241215577
Croissant,Educational Book,0.00803616273229533,0.11111111111111112,1.8907882241215577
Earphones,Detergent,0.009542943244600702,0.13194444444444445,1.8500097809076683
Detergent,Earphones,0.009542943244600702,0.13380281690140844,1.850009780907668
Charger,Vitamins,0.00803616273229533,0.12598425196850394,1.8443723946271422
Vitamins,Charger,0.00803616273229533,0.11764705882352942,1.8443723946271422
Shirt,Jeans,0.007533902561526871,0.12605042016806722,1.779903450741999
Educational Book,Vitamins,0.007031642390758413,0.11965811965811966,1.7517596782302665
Butter,Milk,0.009542943244600702,0.13194444444444445,1.694847670250896
Milk,Butter,0.009542943244600702,0.12258064516129032,1.694847670250896
Onion,Sugar,0.007533902561526871,0.11450381679389314,1.68871925360475
Sugar,Onion,0.007533902561526871,0.11111111111111112,1.68871925360475
Sugar,Energy Drink,0.009040683073832245,0.13333333333333333,1.680168776371308
Energy Drink,Sugar,0.009040683073832245,0.11392405063291139,1.680168776371308
Shirt,Dress,0.007031642390758413,0.11764705882352941,1.673109243697479
Shoes,Spices,0.009040683073832245,0.11842105263157895,1.6603965900667164
Spices,Shoes,0.009040683073832245,0.1267605633802817,1.6603965900667161
Fiction Book,Croissant,0.007533902561526871,0.12,1.6591666666666667
Pastry,Bread,0.009040683073832245,0.12244897959183673,1.65847563515202
Bread,Pastry,0.009040683073832245,0.12244897959183673,1.65847563515202
Educational Book,Face Wash,0.007533902561526871,0.12820512820512822,1.6575091575091578
Charger,Detergent,0.007533902561526871,0.11811023622047244,1.6560385937673285
Orange,Milk,0.00803616273229533,0.128,1.6441806451612904
Electric Kettle,Earphones,0.00803616273229533,0.11851851851851852,1.6386831275720166
Earphones,Electric Kettle,0.00803616273229533,0.11111111111111112,1.6386831275720166
Cookies,Pen,0.008538422903063787,0.11564625850340136,1.632990784966469
Pen,Cookies,0.008538422903063787,0.12056737588652483,1.6329907849664689
Soap,Salt,0.008538422903063787,0.12592592592592594,1.6280423280423284
Salt,Soap,0.008538422903063787,0.1103896103896104,1.6280423280423282
Cookies,Spices,0.008538422903063787,0.11564625850340136,1.6214908498610714
Spices,Cookies,0.008538422903063787,0.11971830985915494,1.6214908498610712
Saree,Tomato,0.008538422903063787,0.11486486486486486,1.6105348306052532
Tomato,Saree,0.008538422903063787,0.11971830985915494,1.6105348306052532
Vitamins,Coffee,0.007533902561526871,0.11029411764705882,1.60288750536711
Energy Drink,Tomato,0.009040683073832245,0.11392405063291139,1.5973435550008914
Tomato,Energy Drink,0.009040683073832245,0.1267605633802817,1.5973435550008914
Electric Kettle,Saree,0.00803616273229533,0.11851851851851852,1.5943943943943943
Rice,Milk,0.00803616273229533,0.12403100775193801,1.5931982995748941
Cooking Oil,Saree,0.009040683073832245,0.11842105263157895,1.593083214793741
Saree,Cooking Oil,0.009040683073832245,0.12162162162162161,1.593083214793741
Potato,Bread,0.00803616273229533,0.11678832116788322,1.5818064452058196
Vitamins,Soda,0.008538422903063787,0.125,1.5751582278481013
Chicken Breast,Biscuits,0.00803616273229533,0.1118881118881119,1.5687973997833156
Biscuits,Chicken Breast,0.00803616273229533,0.11267605633802819,1.5687973997833156
Potato,Energy Drink,0.008538422903063787,0.12408759124087591,1.5636607225353414
Cheese,Chips,0.009040683073832245,0.1258741258741259,1.5566172957477307
Chips,Cheese,0.009040683073832245,0.11180124223602483,1.5566172957477304
Earphones,Baby Food,0.008538422903063787,0.11805555555555557,1.5566133186166298
Baby Food,Earphones,0.008538422903063787,0.11258278145695363,1.5566133186166298
Orange,Salt,0.007533902561526871,0.12,1.5514285714285714
Sugar,Face Wash,0.00803616273229533,0.11851851851851852,1.5322751322751325
Baby Food,Milk,0.009040683073832245,0.11920529801324502,1.5312112796411022
Milk,Baby Food,0.009040683073832245,0.11612903225806452,1.5312112796411022
Charger,Earphones,0.007031642390758413,0.11023622047244094,1.5241688538932634
Beef,Energy Drink,0.008538422903063787,0.12056737588652483,1.5193015531017147
Fish,Belt,0.00803616273229533,0.11267605633802819,1.5157974876284737
Dress,Pasta,0.00803616273229533,0.11428571428571431,1.4872082166199818
Fiction Book,Pasta,0.007031642390758413,0.112,1.457464052287582
Biscuits,Face Wash,0.00803616273229533,0.11267605633802819,1.4567404426559358
Fish,Face Wash,0.00803616273229533,0.11267605633802819,1.4567404426559358
Chicken Breast,Dishwashing Liquid,0.008538422903063787,0.1188811188811189,1.452100047192072
Floor Cleaner,Toilet Paper,0.007031642390758413,0.112,1.4480000000000002
Jeans,Tissue,0.00803616273229533,0.11347517730496456,1.4390387134661429
Mixer Grinder,Pasta,0.00803616273229533,0.11034482758620691,1.4359251746675685
Biscuits,Prawns,0.00803616273229533,0.11267605633802819,1.428904638019198
Charger,Toilet Paper,0.007031642390758413,0.11023622047244094,1.425196850393701
Educational Book,Cake,0.0065293822199899544,0.1111111111111111,1.40014064697609
Educational Book,Dishwashing Liquid,0.0065293822199899544,0.1111111111111111,1.3571915473755964
